AGENCY_ID,OFFENSE_TYPE_ID,UCR_AGENCY_NAME,COUNTY_NAME,OFFENSE_NAME,INCIDENT_COUNT,COUNTY_CODE
19792,36,VICTORIA,['VICTORIA'],Rape,2,[235]
19794,36,WALKER,['WALKER'],Rape,2,[236]
19795,36,HUNTSVILLE,['WALKER'],Rape,2,[236]
19808,36,LAREDO,['WEBB'],Rape,15,[240]
19813,36,WHARTON,['WHARTON'],Rape,1,[241]
19822,36,WICHITA FALLS,['WICHITA'],Rape,1,[243]
19826,36,WILLACY,['WILLACY'],Rape,1,[245]
19828,36,RAYMONDVILLE,['WILLACY'],Rape,1,[245]
19831,36,WILLIAMSON,['WILLIAMSON'],Rape,1,[246]
19833,36,GEORGETOWN,['WILLIAMSON'],Rape,5,[246]
19836,36,ROUND ROCK,"['TRAVIS', ' WILLIAMSON']",Rape,2,"[227, 246]"
19843,36,WILSON,['WILSON'],Rape,1,[247]
19848,36,WINKLER,['WINKLER'],Rape,1,[248]
19853,36,DECATUR,['WISE'],Rape,1,[249]
19866,36,ZAVALA,['ZAVALA'],Rape,1,[254]
19869,36,DALLAS,"['DENTON', ' COLLIN', ' DALLAS']",Rape,56,"[61, 43, 57]"
19870,36,HOUSTON,"['MONTGOMERY', ' FORT BEND', ' HARRIS']",Rape,112,"[170, 79, 101]"
19871,36,SAN ANTONIO,"['MEDINA', ' BEXAR']",Rape,1,"[163, 15]"
27352,36,FATE,['ROCKWALL'],Rape,1,[199]
27733,36,LIBERTY HILL,['WILLIAMSON'],Rape,1,[246]
28679,36,ISD: TERRELL,['KAUFMAN'],Rape,1,[129]
30114,36,FRANKLIN,['ROBERTSON'],Rape,3,[198]
18757,56,ANDREWS,['ANDREWS'],Fondling,2,[2]
18766,56,ROCKPORT,['ARANSAS'],Fondling,1,[4]
18773,56,PLEASANTON,['ATASCOSA'],Fondling,2,[7]
18792,56,BELL,['BELL'],Fondling,3,[14]
18795,56,HARKER HEIGHTS,['BELL'],Fondling,1,[14]
18796,56,KILLEEN,['BELL'],Fondling,2,[14]
18798,56,TEMPLE,['BELL'],Fondling,5,[14]
18818,56,UNIVERSAL CITY,['BEXAR'],Fondling,1,[15]
18822,56,UNIV OF TX: SAN ANTONIO,['BEXAR'],Fondling,1,[15]
18858,56,PEARLAND,"['FORT BEND', ' HARRIS', ' BRAZORIA']",Fondling,4,"[79, 101, 20]"
18889,56,BURNET,['BURNET'],Fondling,1,[27]
18895,56,CALDWELL,['CALDWELL'],Fondling,1,[28]
18899,56,CALHOUN,['CALHOUN'],Fondling,2,[29]
18907,56,BROWNSVILLE,['CAMERON'],Fondling,14,[31]
18909,56,HARLINGEN,['CAMERON'],Fondling,5,[31]
18925,56,CAMP,['CAMP'],Fondling,2,[32]
18938,56,CHAMBERS,['CHAMBERS'],Fondling,1,[36]
18941,56,CHEROKEE,['CHEROKEE'],Fondling,4,[37]
18960,56,FARMERSVILLE,['COLLIN'],Fondling,1,[43]
18961,56,FRISCO,"['DENTON', ' COLLIN']",Fondling,2,"[61, 43]"
18962,56,MCKINNEY,['COLLIN'],Fondling,7,[43]
18963,56,PLANO,"['DENTON', ' COLLIN']",Fondling,9,"[61, 43]"
18965,56,WYLIE,"['DALLAS', ' ROCKWALL', ' COLLIN']",Fondling,1,"[57, 199, 43]"
18979,56,NEW BRAUNFELS,"['GUADALUPE', ' COMAL']",Fondling,1,"[94, 46]"
18993,56,GATESVILLE,['CORYELL'],Fondling,2,[50]
19012,56,CEDAR HILL,"['ELLIS', ' DALLAS']",Fondling,2,"[70, 57]"
19016,56,DUNCANVILLE,['DALLAS'],Fondling,1,[57]
19018,56,GARLAND,"['COLLIN', ' DALLAS']",Fondling,7,"[43, 57]"
19019,56,GRAND PRAIRIE,"['ELLIS', ' TARRANT', ' DALLAS']",Fondling,5,"[70, 220, 57]"
19022,56,IRVING,['DALLAS'],Fondling,1,[57]
19025,56,MESQUITE,"['KAUFMAN', ' DALLAS']",Fondling,11,"[129, 57]"
19026,56,RICHARDSON,"['COLLIN', ' DALLAS']",Fondling,4,"[43, 57]"
19027,56,SACHSE,"['COLLIN', ' DALLAS']",Fondling,1,"[43, 57]"
19034,56,ROWLETT,"['ROCKWALL', ' DALLAS']",Fondling,4,"[199, 57]"
19054,56,DENTON,['DENTON'],Fondling,4,[61]
19055,56,LAKE DALLAS,['DENTON'],Fondling,1,[61]
19056,56,LEWISVILLE,"['DALLAS', ' DENTON']",Fondling,4,"[57, 61]"
19062,56,LITTLE ELM,['DENTON'],Fondling,2,[61]
19064,56,THE COLONY,['DENTON'],Fondling,1,[61]
19066,56,CORINTH,['DENTON'],Fondling,1,[61]
19074,56,DEWITT,['DEWITT'],Fondling,1,[62]
19089,56,EASTLAND,['EASTLAND'],Fondling,3,[67]
19107,56,EL PASO,['EL PASO'],Fondling,1,[71]
19109,56,EL PASO,['EL PASO'],Fondling,4,[71]
19142,56,FORT BEND,['FORT BEND'],Fondling,5,[79]
19167,56,GALVESTON,['GALVESTON'],Fondling,3,[84]
19171,56,LEAGUE CITY,"['HARRIS', ' GALVESTON']",Fondling,2,"[101, 84]"
19177,56,SANTA FE,['GALVESTON'],Fondling,1,[84]
19192,56,PAMPA,['GRAY'],Fondling,1,[90]
19209,56,LONGVIEW,"['HARRISON', ' GREGG']",Fondling,4,"[102, 92]"
19217,56,CIBOLO,['GUADALUPE'],Fondling,1,[94]
19233,56,HARDIN,['HARDIN'],Fondling,2,[100]
19238,56,HARRIS,['HARRIS'],Fondling,1,[101]
19247,56,LA PORTE,['HARRIS'],Fondling,1,[101]
19248,56,PASADENA,['HARRIS'],Fondling,2,[101]
19250,56,SOUTH HOUSTON,['HARRIS'],Fondling,1,[101]
19278,56,ISD: PASADENA,['HARRIS'],Fondling,1,[101]
19292,56,SAN MARCOS,"['CALDWELL', ' HAYS']",Fondling,4,"[28, 105]"
19308,56,HIDALGO,['HIDALGO'],Fondling,1,[108]
19317,56,MERCEDES,['HIDALGO'],Fondling,3,[108]
19347,56,HOPKINS,['HOPKINS'],Fondling,4,[112]
19349,56,SULPHUR SPRINGS,['HOPKINS'],Fondling,5,[112]
19353,56,HOWARD,['HOWARD'],Fondling,2,[114]
19356,56,HUNT,['HUNT'],Fondling,1,[116]
19371,56,JACK,['JACK'],Fondling,1,[119]
19386,56,PORT ARTHUR,"['ORANGE', ' JEFFERSON']",Fondling,1,"[181, 123]"
19394,56,JOHNSON,['JOHNSON'],Fondling,2,[126]
19409,56,KAUFMAN,['KAUFMAN'],Fondling,2,[129]
19410,56,FORNEY,['KAUFMAN'],Fondling,1,[129]
19413,56,TERRELL,['KAUFMAN'],Fondling,2,[129]
19417,56,BOERNE,['KENDALL'],Fondling,1,[130]
19421,56,KERRVILLE,['KERR'],Fondling,1,[133]
19435,56,PARIS,['LAMAR'],Fondling,1,[139]
19437,56,"RENO, LAMAR COUNTY",['LAMAR'],Fondling,1,[139]
19444,56,LAMPASAS,['LAMPASAS'],Fondling,1,[141]
19453,56,GIDDINGS,['LEE'],Fondling,1,[144]
19462,56,GROESBECK,['LIMESTONE'],Fondling,3,[147]
19463,56,MEXIA,['LIMESTONE'],Fondling,1,[147]
19488,56,MCLENNAN,['MCLENNAN'],Fondling,4,[155]
19489,56,BELLMEAD,['MCLENNAN'],Fondling,2,[155]
19491,56,HEWITT,['MCLENNAN'],Fondling,2,[155]
19540,56,MONTGOMERY,['MONTGOMERY'],Fondling,1,[170]
19552,56,MOORE,['MOORE'],Fondling,1,[171]
19562,56,NACOGDOCHES,['NACOGDOCHES'],Fondling,2,[174]
19566,56,CORSICANA,['NAVARRO'],Fondling,1,[175]
19574,56,CORPUS CHRISTI,['NUECES'],Fondling,14,[178]
19595,56,WEATHERFORD,['PARKER'],Fondling,1,[184]
19605,56,POLK,['POLK'],Fondling,3,[187]
19606,56,LIVINGSTON,['POLK'],Fondling,1,[187]
19610,56,AMARILLO,"['RANDALL', ' POTTER']",Fondling,9,"[191, 188]"
19636,56,ROCKWALL,['ROCKWALL'],Fondling,1,[199]
19638,56,ROYSE CITY,"['HUNT', ' COLLIN', ' ROCKWALL']",Fondling,1,"[116, 43, 199]"
19644,56,RUSK,['RUSK'],Fondling,1,[201]
19670,56,SHELBY,['SHELBY'],Fondling,2,[210]
19678,56,TYLER,['SMITH'],Fondling,1,[212]
19689,56,ROMA,['STARR'],Fondling,1,[214]
19701,56,ARLINGTON,['TARRANT'],Fondling,5,[220]
19703,56,BEDFORD,['TARRANT'],Fondling,1,[220]
19706,56,CROWLEY,"['JOHNSON', ' TARRANT']",Fondling,1,"[126, 220]"
19711,56,FORT WORTH,"['PARKER', ' DENTON', ' TARRANT']",Fondling,18,"[184, 61, 220]"
19712,56,GRAPEVINE,['TARRANT'],Fondling,3,[220]
19714,56,HURST,['TARRANT'],Fondling,1,[220]
19717,56,LAKE WORTH,['TARRANT'],Fondling,1,[220]
19718,56,MANSFIELD,"['ELLIS', ' JOHNSON', ' TARRANT']",Fondling,1,"[70, 126, 220]"
19735,56,COLLEYVILLE,['TARRANT'],Fondling,3,[220]
19749,56,TITUS,['TITUS'],Fondling,1,[225]
19755,56,TRAVIS,['TRAVIS'],Fondling,2,[227]
19756,56,AUSTIN,"['WILLIAMSON', ' TRAVIS']",Fondling,32,"[246, 227]"
19760,56,UNIV OF TX: AUSTIN,['TRAVIS'],Fondling,1,[227]
19776,56,GILMER,['UPSHUR'],Fondling,1,[230]
19794,56,WALKER,['WALKER'],Fondling,2,[236]
19795,56,HUNTSVILLE,['WALKER'],Fondling,6,[236]
19807,56,WEBB,['WEBB'],Fondling,1,[240]
19808,56,LAREDO,['WEBB'],Fondling,15,[240]
19813,56,WHARTON,['WHARTON'],Fondling,1,[241]
19839,56,CEDAR PARK,"['TRAVIS', ' WILLIAMSON']",Fondling,1,"[227, 246]"
19840,56,LEANDER,"['TRAVIS', ' WILLIAMSON']",Fondling,1,"[227, 246]"
19843,56,WILSON,['WILSON'],Fondling,1,[247]
19853,56,DECATUR,['WISE'],Fondling,1,[249]
19869,56,DALLAS,"['DENTON', ' COLLIN', ' DALLAS']",Fondling,14,"[61, 43, 57]"
19870,56,HOUSTON,"['MONTGOMERY', ' FORT BEND', ' HARRIS']",Fondling,20,"[170, 79, 101]"
19871,56,SAN ANTONIO,"['MEDINA', ' BEXAR']",Fondling,2,"[163, 15]"
27352,56,FATE,['ROCKWALL'],Fondling,1,[199]
18765,8,ARANSAS PASS,"['NUECES', ' ARANSAS', ' SAN PATRICIO']",Pornography/Obscene Material,1,"[178, 4, 205]"
18787,8,SMITHVILLE,['BASTROP'],Pornography/Obscene Material,1,[11]
18792,8,BELL,['BELL'],Pornography/Obscene Material,2,[14]
18798,8,TEMPLE,['BELL'],Pornography/Obscene Material,2,[14]
18802,8,ISD: KILLEEN,['BELL'],Pornography/Obscene Material,1,[14]
18814,8,LEON VALLEY,['BEXAR'],Pornography/Obscene Material,1,[15]
18858,8,PEARLAND,"['FORT BEND', ' HARRIS', ' BRAZORIA']",Pornography/Obscene Material,6,"[79, 101, 20]"
18873,8,COLLEGE STATION,['BRAZOS'],Pornography/Obscene Material,4,[21]
18883,8,BROWNWOOD,['BROWN'],Pornography/Obscene Material,1,[25]
18890,8,MARBLE FALLS,['BURNET'],Pornography/Obscene Material,1,[27]
18899,8,CALHOUN,['CALHOUN'],Pornography/Obscene Material,2,[29]
18909,8,HARLINGEN,['CAMERON'],Pornography/Obscene Material,1,[31]
18912,8,PORT ISABEL,['CAMERON'],Pornography/Obscene Material,1,[31]
18938,8,CHAMBERS,['CHAMBERS'],Pornography/Obscene Material,3,[36]
18939,8,MONT BELVIEU,['CHAMBERS'],Pornography/Obscene Material,1,[36]
18957,8,COLLIN,['COLLIN'],Pornography/Obscene Material,14,[43]
18961,8,FRISCO,"['DENTON', ' COLLIN']",Pornography/Obscene Material,1,"[61, 43]"
18962,8,MCKINNEY,['COLLIN'],Pornography/Obscene Material,2,[43]
18963,8,PLANO,"['DENTON', ' COLLIN']",Pornography/Obscene Material,5,"[61, 43]"
