,COUNTY_NAME,COUNTY_CODE,OFFENSE_TYPE_ID,OFFENSE_NAME,INCIDENT_COUNT
398,['HARDIN'],[100],8,Pornography/Obscene Material,1
399,['HARRIS'],[101],8,Pornography/Obscene Material,9
400,"['CHAMBERS', ' HARRIS']","[36, 101]",8,Pornography/Obscene Material,1
401,['HARRIS'],[101],8,Pornography/Obscene Material,2
402,['HARRIS'],[101],8,Pornography/Obscene Material,1
403,['HAYS'],[105],8,Pornography/Obscene Material,1
404,['HIDALGO'],[108],8,Pornography/Obscene Material,1
405,['HIDALGO'],[108],8,Pornography/Obscene Material,1
406,['HIDALGO'],[108],8,Pornography/Obscene Material,1
407,['HILL'],[109],8,Pornography/Obscene Material,1
408,['HOCKLEY'],[110],8,Pornography/Obscene Material,1
409,['HOPKINS'],[112],8,Pornography/Obscene Material,9
410,['JASPER'],[121],8,Pornography/Obscene Material,2
411,['KAUFMAN'],[129],8,Pornography/Obscene Material,3
412,['KAUFMAN'],[129],8,Pornography/Obscene Material,1
413,['KENDALL'],[130],8,Pornography/Obscene Material,1
414,['LAMAR'],[139],8,Pornography/Obscene Material,1
415,['LAMPASAS'],[141],8,Pornography/Obscene Material,2
416,['LEE'],[144],8,Pornography/Obscene Material,1
417,['LUBBOCK'],[152],8,Pornography/Obscene Material,4
418,['MCLENNAN'],[155],8,Pornography/Obscene Material,2
419,['MILAM'],[166],8,Pornography/Obscene Material,1
420,['MONTGOMERY'],[170],8,Pornography/Obscene Material,6
421,['MONTGOMERY'],[170],8,Pornography/Obscene Material,4
422,['NAVARRO'],[175],8,Pornography/Obscene Material,1
423,['NUECES'],[178],8,Pornography/Obscene Material,1
424,['POLK'],[187],8,Pornography/Obscene Material,1
425,"['RANDALL', ' POTTER']","[191, 188]",8,Pornography/Obscene Material,3
426,['RANDALL'],[191],8,Pornography/Obscene Material,1
427,['ROCKWALL'],[199],8,Pornography/Obscene Material,4
428,['RUSK'],[201],8,Pornography/Obscene Material,1
429,['SAN AUGUSTINE'],[203],8,Pornography/Obscene Material,1
430,['SAN PATRICIO'],[205],8,Pornography/Obscene Material,3
431,['SMITH'],[212],8,Pornography/Obscene Material,2
432,['TARRANT'],[220],8,Pornography/Obscene Material,1
433,['TARRANT'],[220],8,Pornography/Obscene Material,3
434,"['PARKER', ' DENTON', ' TARRANT']","[184, 61, 220]",8,Pornography/Obscene Material,6
435,['TARRANT'],[220],8,Pornography/Obscene Material,1
436,['TARRANT'],[220],8,Pornography/Obscene Material,2
437,"['JONES', ' TAYLOR']","[127, 221]",8,Pornography/Obscene Material,32
438,['TRAVIS'],[227],8,Pornography/Obscene Material,1
439,"['WILLIAMSON', ' TRAVIS']","[246, 227]",8,Pornography/Obscene Material,10
440,['TRAVIS'],[227],8,Pornography/Obscene Material,1
441,['TRAVIS'],[227],8,Pornography/Obscene Material,1
442,['TRAVIS'],[227],8,Pornography/Obscene Material,1
443,['WALKER'],[236],8,Pornography/Obscene Material,2
444,['WEBB'],[240],8,Pornography/Obscene Material,9
445,['WHARTON'],[241],8,Pornography/Obscene Material,1
446,['WILLIAMSON'],[246],8,Pornography/Obscene Material,1
447,['WISE'],[249],8,Pornography/Obscene Material,4
448,['YOUNG'],[252],8,Pornography/Obscene Material,1
449,"['DENTON', ' COLLIN', ' DALLAS']","[61, 43, 57]",8,Pornography/Obscene Material,4
450,"['MONTGOMERY', ' FORT BEND', ' HARRIS']","[170, 79, 101]",8,Pornography/Obscene Material,13
451,"['MEDINA', ' BEXAR']","[163, 15]",8,Pornography/Obscene Material,1
452,['STARR'],[214],8,Pornography/Obscene Material,1
453,['BELL'],[14],30,Prostitution,6
454,['BELL'],[14],30,Prostitution,2
455,['BELL'],[14],30,Prostitution,1
456,['BRAZOS'],[21],30,Prostitution,1
457,"['DENTON', ' COLLIN']","[61, 43]",30,Prostitution,2
458,['COLLIN'],[43],30,Prostitution,2
459,"['DENTON', ' COLLIN']","[61, 43]",30,Prostitution,6
460,"['GUADALUPE', ' COMAL']","[94, 46]",30,Prostitution,2
461,"['COLLIN', ' DALLAS']","[43, 57]",30,Prostitution,1
462,"['COLLIN', ' DALLAS']","[43, 57]",30,Prostitution,12
463,['FORT BEND'],[79],30,Prostitution,1
464,"['HARRIS', ' FORT BEND']","[101, 79]",30,Prostitution,3
465,"['HARRIS', ' GALVESTON']","[101, 84]",30,Prostitution,1
466,['GALVESTON'],[84],30,Prostitution,1
467,['GRAY'],[90],30,Prostitution,2
468,"['HARRISON', ' GREGG']","[102, 92]",30,Prostitution,1
469,['HARRIS'],[101],30,Prostitution,9
470,['HARRIS'],[101],30,Prostitution,1
471,['HARRIS'],[101],30,Prostitution,1
472,['HARRIS'],[101],30,Prostitution,3
473,['HAYS'],[105],30,Prostitution,1
474,['HOPKINS'],[112],30,Prostitution,1
475,['JEFFERSON'],[123],30,Prostitution,21
476,['LUBBOCK'],[152],30,Prostitution,32
477,['MCLENNAN'],[155],30,Prostitution,5
478,['MONTGOMERY'],[170],30,Prostitution,1
479,['NACOGDOCHES'],[174],30,Prostitution,1
480,['NAVARRO'],[175],30,Prostitution,1
481,['NUECES'],[178],30,Prostitution,36
482,"['RANDALL', ' POTTER']","[191, 188]",30,Prostitution,1
483,['TARRANT'],[220],30,Prostitution,4
484,"['PARKER', ' DENTON', ' TARRANT']","[184, 61, 220]",30,Prostitution,20
485,['TARRANT'],[220],30,Prostitution,2
486,"['WILLIAMSON', ' TRAVIS']","[246, 227]",30,Prostitution,32
487,['VICTORIA'],[235],30,Prostitution,3
488,['WASHINGTON'],[239],30,Prostitution,1
489,['WEBB'],[240],30,Prostitution,4
490,['WISE'],[249],30,Prostitution,1
491,"['DENTON', ' COLLIN', ' DALLAS']","[61, 43, 57]",30,Prostitution,375
492,"['MONTGOMERY', ' FORT BEND', ' HARRIS']","[170, 79, 101]",30,Prostitution,335
493,"['MEDINA', ' BEXAR']","[163, 15]",30,Prostitution,48
494,['BELL'],[14],4,Sexual Assault With An Object,1
495,['BOWIE'],[19],4,Sexual Assault With An Object,1
496,['BRAZOS'],[21],4,Sexual Assault With An Object,1
497,['BROWN'],[25],4,Sexual Assault With An Object,2
498,['BURNET'],[27],4,Sexual Assault With An Object,1
499,['CAMERON'],[31],4,Sexual Assault With An Object,2
500,['CAMERON'],[31],4,Sexual Assault With An Object,1
